job_id,x,uy_fem_mm,uy_roark_mm,error_uy_mm,theta_z_fem_deg,theta_z_roark_deg,error_theta_z_deg
0.000000000000000000e+00,6.800000000000000488e-01,-4.675875131962999864e-01,-4.675875143233804154e-01,1.127080428986459992e-09,-7.376058130859669548e-02,-7.376058148841123374e-02,1.798145382592153396e-10
0.000000000000000000e+00,6.999999999999999556e-01,-4.936343772638999705e-01,-4.936343784544426350e-01,1.190542664453175803e-09,-7.547260047064630051e-02,-7.547260065477938429e-02,1.841330837804022735e-10
0.000000000000000000e+00,7.199999999999999734e-01,-5.202742868673999599e-01,-5.202742881229630578e-01,1.255563097934953021e-09,-7.715848193555488455e-02,-7.715848212395109984e-02,1.883962152948726043e-10
0.000000000000000000e+00,7.399999999999999911e-01,-5.474981182293000570e-01,-5.474981195514416754e-01,1.322141618409489183e-09,-7.881822570332243372e-02,-7.881822589592631101e-02,1.926038772914751007e-10
0.000000000000000000e+00,7.600000000000000089e-01,-5.752967475722999824e-01,-5.752967489623794783e-01,1.390079495955376387e-09,-8.045183177394897578e-02,-8.045183197070510106e-02,1.967561252813609940e-10
0.000000000000000000e+00,7.800000000000000266e-01,-6.036610511187999739e-01,-6.036610525782769576e-01,1.459476983711738285e-09,-8.205930014743448297e-02,-8.205930034828741448e-02,2.008529315089546685e-10
0.000000000000000000e+00,8.000000000000000444e-01,-6.325819050913999986e-01,-6.325819066216349373e-01,1.530234938762475849e-09,-8.364063082383625669e-02,-8.364063102867326516e-02,2.048370084661854662e-10
0.000000000000000000e+00,8.199999999999999512e-01,-6.620501857125000722e-01,-6.620501873149535754e-01,1.602453503224410269e-09,-8.519582380309702330e-02,-8.519582401186265308e-02,2.087656297833362373e-10
0.000000000000000000e+00,8.399999999999999689e-01,-6.920567692046999397e-01,-6.920567708807341401e-01,1.676034200315257294e-09,-8.672487908521674116e-02,-8.672487929785559213e-02,2.126388509715582131e-10
0.000000000000000000e+00,8.599999999999999867e-01,-7.225925317906000123e-01,-7.225925335414770112e-01,1.750876998940498197e-09,-8.822779667025272554e-02,-8.822779688665206843e-02,2.163993428894173121e-10
0.000000000000000000e+00,8.800000000000000044e-01,-7.536483496925999725e-01,-7.536483515196830130e-01,1.827083040417676330e-09,-8.970457655814770281e-02,-8.970457677825206810e-02,2.201043652894085767e-10
0.000000000000000000e+00,9.000000000000000222e-01,-7.852150991333000096e-01,-7.852151010378525253e-01,1.904552515696877890e-09,-9.115521874890164522e-02,-9.115521897265561890e-02,2.237539736826832382e-10
0.000000000000000000e+00,9.200000000000000400e-01,-8.172836563351999484e-01,-8.172836583184864834e-01,1.983286535001127504e-09,-9.257972324257186802e-02,-9.257972346986270695e-02,2.272908389278072150e-10
0.000000000000000000e+00,9.399999999999999467e-01,-8.498448975209000888e-01,-8.498448995840849340e-01,2.063184845191301520e-09,-9.397809003910105596e-02,-9.397809026987334613e-02,2.307722901662145887e-10
0.000000000000000000e+00,9.599999999999999645e-01,-8.828896989128000028e-01,-8.828897010571493675e-01,2.144349364741060526e-09,-9.535031913854652430e-02,-9.535031937268752256e-02,2.341409982564712777e-10
0.000000000000000000e+00,9.799999999999999822e-01,-9.164089367334999903e-01,-9.164089389601796087e-01,2.226679618466675947e-09,-9.669641054085095777e-02,-9.669641077830522236e-02,2.374542645844357480e-10
0.000000000000000000e+00,1.000000000000000000e+00,-9.503934872056000183e-01,-9.503934895156772589e-01,2.310077240608165994e-09,-9.801636424607167164e-02,-9.801636448672647328e-02,2.406548016420373415e-10
0.000000000000000000e+00,1.020000000000000018e+00,-9.848342265514999916e-01,-9.848342289461423649e-01,2.394642373282351855e-09,-9.931018025420863815e-02,-9.931018049795126146e-02,2.437426233070638659e-10
0.000000000000000000e+00,1.040000000000000036e+00,-1.019722030993999828e+00,-1.019722033474075307e+00,2.480075478317189663e-09,-1.005778585652045976e-01,-1.005778588119796008e-01,2.467750032097981716e-10
0.000000000000000000e+00,1.060000000000000053e+00,-1.055047776755000166e+00,-1.055047779321977020e+00,2.566976853302094241e-09,-1.018193991790595221e-01,-1.018193994288114634e-01,2.497519413502402585e-10
0.000000000000000000e+00,1.080000000000000071e+00,-1.090802340058000031e+00,-1.090802342712348549e+00,2.654348518760230036e-09,-1.030348020958880145e-01,-1.030348023484468634e-01,2.525588488344610028e-10
0.000000000000000000e+00,1.100000000000000089e+00,-1.126976597124000001e+00,-1.126976599867690387e+00,2.743690385997865633e-09,-1.042240673155754860e-01,-1.042240675708858283e-01,2.553103423119651438e-10
0.000000000000000000e+00,1.120000000000000107e+00,-1.163561424178000125e+00,-1.163561427010502580e+00,2.832502454808150105e-09,-1.053871948381792240e-01,-1.053871950961283027e-01,2.579490787635307925e-10
0.000000000000000000e+00,1.139999999999999902e+00,-1.200547697440000006e+00,-1.200547700363286063e+00,2.923286057665563931e-09,-1.065241846636992284e-01,-1.065241849241743421e-01,2.604751137003091799e-10
